party,vote_id,procedure_type,timestamp,num_for,num_against,num_abstention,num_no_votes,total_votes,majority_col,majority_votes,percent_dissent
ECR,115399,INI,2020-06-18T12:56:33,50,3,8,1,61,FOR,50,0.180327868852459
EPP,115399,INI,2020-06-18T12:56:33,185,0,0,2,185,FOR,185,0.0
GUE/NGL,115399,INI,2020-06-18T12:56:33,8,6,25,0,39,ABSTENTION,25,0.3589743589743589
Greens/EFA,115399,INI,2020-06-18T12:56:33,65,0,0,2,65,FOR,65,0.0
ID,115399,INI,2020-06-18T12:56:33,0,21,54,1,75,ABSTENTION,54,0.28
Non-attached,115399,INI,2020-06-18T12:56:33,21,4,4,0,29,FOR,21,0.27586206896551724
Renew,115399,INI,2020-06-18T12:56:33,98,0,0,0,98,FOR,98,0.0
S&D,115399,INI,2020-06-18T12:56:33,145,0,0,1,145,FOR,145,0.0
ECR,115400,RSP,2020-06-18T12:56:33,2,57,2,1,61,AGAINST,57,0.06557377049180324
EPP,115400,RSP,2020-06-18T12:56:33,178,3,4,2,185,FOR,178,0.037837837837837784
GUE/NGL,115400,RSP,2020-06-18T12:56:33,25,9,5,0,39,FOR,25,0.3589743589743589
Greens/EFA,115400,RSP,2020-06-18T12:56:33,64,1,0,2,65,FOR,64,0.01538461538461533
