id,first_name,last_name,party,party_code,agreed,dissented,did_not_vote,total_votes,percent_agree_current,percent_show_up,country,European People’s Party percentage,Renew Europe percentage,Progressive Alliance of Socialists and Democrats percentage,European Conservatives and Reformists percentage,Non-attached Members percentage,Europe of Sovereign Nations percentage,The Left in the European Parliament – GUE/NGL percentage,Greens/European Free Alliance percentage,Patriots for Europe percentage,Identity and Democracy percentage
256947,Fredis,Beleris,European People’s Party,EPP,75,57,30,162,46.2962962962963,81.48148148148148,Greece,46.2962962962963,46.913580246913575,46.2962962962963,39.50617283950617,24.074074074074073,13.580246913580247,32.71604938271605,39.50617283950617,25.308641975308642,0.0
197534,François-Xavier,Bellamy,European People’s Party,EPP,529,1222,93,1844,28.687635574837312,94.95661605206074,France,28.687635574837312,28.362255965292842,27.928416485900215,25.542299349240782,24.349240780911064,1.3557483731019524,22.288503253796097,25.054229934924077,2.386117136659436,15.238611713665945
197658,Dragoş,Benea,Progressive Alliance of Socialists and Democrats,SD,449,871,524,1844,24.349240780911064,71.58351409978309,Romania,23.2646420824295,23.969631236442517,24.349240780911064,17.51626898047722,18.112798264642084,1.193058568329718,17.678958785249456,21.529284164859003,1.8980477223427332,8.622559652928416
124867,Brando,Benifei,Progressive Alliance of Socialists and Democrats,SD,583,1110,151,1844,31.616052060737527,91.81127982646422,Italy,29.229934924078094,30.748373101952275,31.616052060737527,21.529284164859003,23.535791757049893,0.7592190889370932,23.318872017353577,28.199566160520607,1.572668112798265,12.093275488069414
197679,Isabel,Benjumea Benjumea,European People’s Party,EPP,647,1122,75,1844,35.08676789587852,95.93275488069413,Spain,35.08676789587852,33.78524945770065,32.97180043383948,25.813449023861175,25.0,1.2472885032537961,23.04772234273319,28.470715835140997,2.1691973969631237,13.774403470715836
197408,Hildegard,Bentele,European People’s Party,EPP,545,1003,296,1844,29.55531453362256,83.94793926247289,Germany,29.55531453362256,28.091106290672453,27.386117136659436,21.529284164859003,22.071583514099782,1.13882863340564,19.84815618221258,24.18655097613883,1.8980477223427332,11.767895878524946
197778,Tom,Berendsen,European People’s Party,EPP,645,1169,30,1844,34.97830802603037,98.37310195227765,Netherlands,34.97830802603037,33.73101952277657,32.9175704989154,25.92190889370933,25.32537960954447,1.193058568329718,23.373101952277658,28.633405639913235,2.1691973969631237,13.774403470715836
256960,Sibylle,Berg,Non-attached Members,NI,25,51,86,162,15.432098765432098,46.913580246913575,Germany,14.19753086419753,16.666666666666664,17.901234567901234,16.666666666666664,15.432098765432098,11.11111111111111,16.666666666666664,17.901234567901234,14.19753086419753,0.0
197410,Stefan,Berger,European People’s Party,EPP,517,1060,267,1844,28.036876355748376,85.52060737527115,Germany,28.036876355748376,26.518438177874188,25.75921908893709,20.715835140997832,20.065075921908893,1.193058568329718,18.546637744034708,22.7765726681128,2.1691973969631237,10.357917570498916
4746,Sergio,Berlato,European Conservatives and Reformists,ECR,518,1214,112,1844,28.091106290672453,93.92624728850325,Italy,22.885032537960953,22.234273318872017,21.800433839479393,28.091106290672453,19.902386117136658,1.8980477223427332,16.648590021691977,18.76355748373102,3.036876355748373,16.648590021691977
